County,ZIP Code,Year,New,Renewed,Insured-Initiated Nonrenewed,Insurer-Initiated Nonrenewed,,,
Los Angeles,91793,2015,0,15,0,0,,,
Los Angeles,91801,2015,701,7166,532,125,,,
Los Angeles,91802,2015,0,6,0,0,,,
Los Angeles,91803,2015,620,5841,474,95,,,
Los Angeles,91804,2015,0,1,0,0,,,
San Diego,91901,2015,461,4247,371,101,,,
San Diego,91902,2015,482,4583,364,90,,,
San Diego,91903,2015,1,1,0,0,,,
San Diego,91905,2015,42,389,25,14,,,
San Diego,91906,2015,95,823,53,25,,,
San Diego,91908,2015,0,2,1,0,,,
San Diego,91909,2015,0,1,0,0,,,
San Diego,91910,2015,1490,12794,1147,303,,,
San Diego,91911,2015,1559,12583,1086,342,,,
San Diego,91912,2015,0,2,0,0,,,
San Diego,91913,2015,1217,8475,867,166,,,
San Diego,91914,2015,451,3744,373,56,,,
San Diego,91915,2015,799,5256,613,118,,,
San Diego,91916,2015,52,460,34,15,,,
San Diego,91917,2015,9,113,6,2,,,
San Diego,91921,2015,1,2,0,0,,,
San Diego,91931,2015,17,56,9,3,,,
San Diego,91932,2015,522,4198,368,130,,,
San Diego,91933,2015,0,1,0,0,,,
San Diego,91934,2015,26,185,11,15,,,
San Diego,91935,2015,235,2341,184,54,,,
San Diego,91941,2015,1011,9121,883,195,,,
San Diego,91942,2015,806,6370,566,105,,,
San Diego,91943,2015,1,5,0,0,,,
San Diego,91944,2015,0,2,0,0,,,
San Diego,91945,2015,739,5703,506,169,,,
San Diego,91946,2015,0,0,0,0,,,
,91947,2015,0,0,0,0,,,
San Diego,91948,2015,1,126,6,0,,,
San Diego,91950,2015,866,6995,585,225,,,
San Diego,91951,2015,0,1,0,0,,,
San Diego,91962,2015,57,637,44,17,,,
San Diego,91963,2015,17,116,9,9,,,
San Diego,91976,2015,0,1,1,0,,,
San Diego,91977,2015,1532,11589,1130,315,,,
San Diego,91978,2015,246,1840,178,55,,,
San Diego,91979,2015,0,1,0,0,,,
San Diego,91980,2015,1,15,0,1,,,
,92002,2015,0,1,0,0,,,
San Diego,92003,2015,140,1067,95,33,,,
San Diego,92004,2015,213,1619,150,61,,,
San Diego,92007,2015,359,2936,279,66,,,
San Diego,92008,2015,658,6173,565,115,,,
San Diego,92009,2015,1461,11079,1241,185,,,
San Diego,92010,2015,521,3552,371,63,,,
San Diego,92011,2015,808,5407,573,115,,,
San Diego,92013,2015,0,4,0,1,,,
San Diego,92014,2015,486,4041,375,106,,,
San Diego,92018,2015,1,7,0,0,,,
San Diego,92019,2015,1249,9202,932,253,,,
San Diego,92020,2015,1014,8907,792,178,,,
San Diego,92021,2015,1405,11090,1031,349,,,
San Diego,92022,2015,0,2,1,0,,,
San Diego,92023,2015,0,4,0,0,,,
San Diego,92024,2015,1620,12986,1271,265,,,
San Diego,92025,2015,866,7241,664,187,,,
San Diego,92026,2015,1434,10660,1122,238,,,
San Diego,92027,2015,1358,10497,1104,219,,,
San Diego,92028,2015,1698,11553,1207,324,,,
San Diego,92029,2015,595,5132,440,107,,,
San Diego,92030,2015,0,1,1,0,,,
,92032,2015,0,1,0,1,,,
San Diego,92033,2015,0,1,0,0,,,
,92035,2015,0,1,0,0,,,
San Diego,92036,2015,155,1465,117,40,,,
San Diego,92037,2015,1160,9142,941,286,,,
San Diego,92038,2015,0,1,0,0,,,
San Diego,92039,2015,0,1,0,0,,,
San Diego,92040,2015,1054,9416,730,216,,,
,92041,2015,0,0,0,1,,,
,92045,2015,0,2,0,0,,,
San Diego,92046,2015,0,3,0,0,,,
,92047,2015,0,1,0,0,,,
San Diego,92049,2015,0,2,0,0,,,
,92050,2015,0,2,0,0,,,
San Diego,92051,2015,0,3,0,1,,,
San Diego,92052,2015,0,5,2,1,,,
San Diego,92054,2015,899,7846,736,198,,,
San Diego,92055,2015,0,3,0,0,,,
San Diego,92056,2015,1891,14122,1539,276,,,
San Diego,92057,2015,1831,12836,1386,273,,,
San Diego,92058,2015,537,3365,393,87,,,
San Diego,92059,2015,9,97,5,4,,,
San Diego,92060,2015,6,159,11,3,,,
